Year,Population
1981,15054117
1982,15288891
1983,15483496
1984,15677282
1985,15900566
1986,16138769
1987,16394641
1988,16687082
1989,16936723
1990,17169768
1991,17378981
1992,17557133
1993,17719090
1994,17893433
1995,18119616
1996,18330079
1997,18510004
1998,18705620
1999,18919210
2000,19141036
2001,19386461
2002,19605441
2003,19827155
2004,20046003
2005,20311543
2006,20627547
2007,21016121
2008,21475625
2009,21865623
2010,22172469
2011,22522197
2012,22928023
2013,23297777
2014,23640331
2015,23984581
2016,24385064
2017,24759018
2018,25146140
2019,25520468
2020,25630698
2021,25771357
2022,26313140
2023,26947832
