,Year,Total_LA_Intake_g_per_capita_day,LA_Intake_percent_calories,Plant_Fat_Ratio,Total_Calorie_Supply,Total_Fat_Supply_g,Total_Carb_Supply_g,Total_Protein_Supply_g,Population,Diabetes_Prevalence_Rate_AgeStandardised,Diabetes_Treatment_Rate_AgeStandardised,Obesity_Prevalence_AgeStandardised,BMI_AgeStandardised,Total_Cholesterol_AgeStandardised,NonHDL_Cholesterol_AgeStandardised,Dementia_Prevalence_Number,Dementia_Mortality_Rate_ASMR,CVD_Mortality_Rate_ASMR,LA_perc_kcal_lag5,LA_perc_kcal_lag10,LA_perc_kcal_lag15,LA_perc_kcal_lag20
Year,1.0,0.9739446657803753,0.9808506299770334,0.9077129814706499,0.9096071115173668,0.971392292336689,-0.46302294463028193,0.04385627203077793,,0.9831422231687525,0.9977461671710676,0.9943808963277163,,-0.9876487708563373,-0.9793050362769338,0.9995843135636167,0.5173694491012036,-0.9818919388110712,0.979157513868423,0.9751230800376024,0.9730027211900879,0.9679141328660775
Total_LA_Intake_g_per_capita_day,0.9739446657803753,1.0,0.9897623657945772,0.9202711839938557,0.9616099702655427,0.9937359503837655,-0.5020861949750132,0.07456974966479951,,0.7855038210408389,0.8681137969805247,0.8693574034697303,,-0.9286964902794559,-0.9189637868963978,0.047228427698346745,0.15951735380952412,-0.9439783984080029,0.9534024193695187,0.9389320419244949,0.9133234869802817,0.9184240738831221
LA_Intake_percent_calories,0.9808506299770334,0.9897623657945772,1.0,0.9220475532469167,0.9142196365864711,0.9797542869068954,-0.5245783039805112,5.4383743598056554e-05,,0.8862146630826229,0.9127406750870942,0.9069221404192475,,-0.9336221085355685,-0.9263862402881581,0.7197386868236769,0.41082213100395265,-0.9380245399970562,0.9575605336835242,0.9464531591098463,0.9233836099400404,0.9280559556098817
Plant_Fat_Ratio,0.9077129814706499,0.9202711839938557,0.9220475532469167,1.0,0.8864777321022489,0.9238568625680712,-0.6230690635236644,0.08497533828687065,,0.5126202068678376,0.5922459531902653,0.6138077245133706,,-0.790435463878626,-0.7653974339529608,-0.3692096807183178,-0.032331216738596624,-0.8869787856368009,0.8803545474512965,0.8539823002142316,0.8040095856475854,0.7902179786678983
Total_Calorie_Supply,0.9096071115173668,0.9616099702655427,0.9142196365864711,0.8864777321022489,1.0,0.9643497768877011,-0.4320946146764211,0.23214790069401703,,0.3780524808400442,0.530496634196555,0.5407137847917922,,-0.8200889602938976,-0.8068427064277556,-0.7728838404936443,-0.25356154434809786,-0.8196722888280032,0.8840543223896975,0.8466179385822002,0.7934493969496751,0.7607163742795965
Total_Fat_Supply_g,0.971392292336689,0.9937359503837655,0.9797542869068954,0.9238568625680712,0.9643497768877011,1.0,-0.5389576321507394,0.07266095023341136,,0.7594745498459902,0.8586876512890693,0.863348742193621,,-0.9111061621935881,-0.894961116738017,-0.18895838293232511,-0.020609256054386793,-0.9583829594671166,0.9515080622793034,0.9424840515511036,0.913149561882672,0.9057194166544165
Total_Carb_Supply_g,-0.46302294463028193,-0.5020861949750132,-0.5245783039805112,-0.6230690635236644,-0.4320946146764211,-0.5389576321507394,1.0,0.09689425083342287,,0.4806871656662851,0.5029184782532342,0.468420445563599,,-0.10369560438772632,-0.13290430215609567,-0.7815993814329865,-0.1866254126219312,0.052203954887953215,-0.37360306415185385,-0.2617690938002363,-0.13197121268433035,0.1078486879343955
Total_Protein_Supply_g,0.04385627203077793,0.07456974966479951,5.4383743598056554e-05,0.08497533828687065,0.23214790069401703,0.07266095023341136,0.09689425083342287,1.0,,-0.15498345988130702,-0.053145581871348935,-0.04685873881079819,,-0.08462895050543158,-0.0760458603405425,-0.6869039477464735,-0.2963339309742041,-0.06612538534794357,0.03216345713943872,-0.12983611059851158,-0.1779772621629533,-0.018835359026734916
Population,,,,,,,,,,,,,,,,,,,,,,
Diabetes_Prevalence_Rate_AgeStandardised,0.9831422231687525,0.7855038210408389,0.8862146630826229,0.5126202068678376,0.3780524808400442,0.7594745498459902,0.4806871656662851,-0.15498345988130702,,1.0,0.9711746938728265,0.9602790580323637,,-0.9894616854044742,-0.9907954154563403,0.9937745567741556,0.5599204753879778,-0.9258981569438436,0.9087077224818998,0.9003547657084241,0.9233975689343449,0.9078556404424369
